티가 38917,30413
티가노아기토 21815,23058
티가노아기토계 21815,22933
티가노티치 49792,14760
티가노티치계 49792,14628
티가렉스 29127,1392|29127,5526|31242,1267|31242,1298|31242,1315|31242,2170|31242,4518|36663,7981|36663,8440|38161,4326|38161,4356|38161,4378|38917,21175|51013,1710|51013,2736|51013,3791|51013,4852|51013,5950|51013,7005|51013,17065
티가렉스x2 31242,4549
티가버스트 43111,11441|43111,11575
티가스팅거 19406,26416|19406,26551
티가에로우 25899,13106
티가에로우i 25899,13248
티가에로우ⅱ 25899,13373
티켓 38917,28931
티타르니아 21815,9760
