날개등의 25899,21839
날개와 51013,14228
날개의 38161,3619|38161,3795
날개짓을 19406,37045
날고 25899,21689|25899,21988
날려 28259,2473|43111,24691
날려버리는 43111,24847|45997,25501|45997,25606
날려버리므로 21815,35902
날아 38161,3116
날아가고 25899,22126
날아가기 25899,21567
날아가는 25899,21617|25899,21780
날아간다 25899,21527|25899,21755
날아오는 36663,1472
날없는황금칼자루 21033,5319|36993,4162|36993,4284
날이 33645,32217
