잡곡밥 42032,1030
잡기를 25899,23435
잡념 39470,10168|39470,12552|45326,5723|45766,10206|45766,12548|45766,12845
잡는 51013,14183
잡는데 38917,5504|38917,5549|38917,5597
잡몹 28259,1460
잡몹을 51013,14013
잡몹의 28259,627
잡아라 33013,403|33013,6700|33013,7660|33013,8355|33013,9153|33013,11048|33013,11159|33013,11310|33013,11464
잡으로 51013,17320
잡으면 36663,15119
잡은 51013,13117|51013,17253
잡을 36663,1029
잡지 51013,17264
잡지만 21815,35651
잡화상 29127,104|38917,32935|38917,32943
