걸러냄으로 36663,12275
걸려 25899,20207|27798,29454
걸렸을 27445,38444
걸리는 36663,11096|38917,2432|38917,2489
걸리지 35316,365|36663,9171|36663,11510|45326,1402|45326,1485|45326,1570|45326,5048
걸린 38917,2270|38917,3849|43111,22178
걸린다 36663,13348|43111,23076|45326,4464|45326,9497
걸립니다 36663,11238
걸어가 27445,38191
걸으면서 27445,37570
걸으면서도 24789,39577|37097,31545
