싸게 29127,2762|29127,3211
싸우기 27798,29090|36663,1275
싸우는 19406,35179|19406,35700|25899,22751|27445,38314|27445,38347
싸우는걸 43111,24034
싸우는데 19406,35465
싸우면 31242,547|33645,32304
싸우면서 45997,26009
싸우지 36663,1870
싸운다 19406,35485|49792,26915
싸운다면 27798,29119
싸울 43111,26163
싸움에 36663,1826
싸인을 36663,8905
싸졌다 28259,3486
