떨구는 36993,4443
떨구는물건 36993,3610|36993,3847|36993,3876|36993,4309|36993,4904|36993,5426|36993,6138|36993,6332
떨어뜨리면 38917,31247|38917,32870
떨어뜨리지 45326,6653
떨어져도 42032,5336
떨어져도도 45326,6643
떨어졌을 45326,4497
떨어지기 27798,28939
떨어지는 25899,21319|45326,5829
떨어지면 27445,37491|36663,11469|43111,24582
떨어지지 24789,39909|42032,5304
떨어지지만 28259,594
떨어진다 21815,34825|27445,37710|28259,3652|28259,7663
떨어짐을 28259,475
떨어트리는 28259,2420
