걸러냄으로 39242,12275
걸려 28478,20207|30377,29454
걸렸을 30024,38444
걸리는 39242,11096|41496,2432|41496,2489
걸리지 37895,365|39242,9171|39242,11510|47905,1402|47905,1485|47905,1570|47905,5048
걸린 41496,2270|41496,3849|45690,22178
걸린다 39242,13348|45690,23076|47905,4464|47905,9497
걸립니다 39242,11238
걸어가 30024,38191
걸으면서 30024,37570
걸으면서도 27368,39577|39676,31545
