할때 44611,7751
할때나 21985,37050
할때와 39242,14453|39242,15330
할려면 39242,11227
할매로부터 41496,29508|41496,29564
할머니 31706,35
할머니가 39242,10940
할머니는 39242,260
할머니에게 39242,186
할버드 24394,7062
할수 23612,7357|28478,21215|30377,28989|37895,118|44611,4361|45690,19551|45690,19693|45690,19842|45690,22227|45690,24888|47905,1657|47905,5014|53592,17378
할수도 24394,35720
할수있다 44611,4525|47905,9989
할아버지 42405,26
할아버지의 53592,16210
