붙는것중 39242,14559
붙는다 48576,26446
붙어 24394,35843|28478,19856|28478,22425|36224,32198|45690,22456
붙어있습니다 44611,3099
붙여서 36224,32453
붙여주면 30377,29066|45690,24643
붙였다 53592,7535|53592,7572|53592,7610
붙였을 37895,2430
붙였을경우 30838,6931
붙은 21985,36083|30838,4560|40740,2782
붙이는 48576,26739
붙이면 21985,36129|30838,6973|45690,21984|48576,26253
붙인다 41496,11386
붙일 39242,13047
